,Colonnes,NaNs,Pourcentage
0,IncidentNumber,0,0.00%
1,CalYear,0,0.00%
2,BoroughName,2507,0.38%
3,WardName,3102,0.47%
4,HourOfCall,0,0.00%
5,ResourceMobilisationId,0,0.00%
6,Resource_Code,0,0.00%
7,PerformanceReporting,0,0.00%
8,DateAndTimeMobilised,0,0.00%
9,DateAndTimeMobile,2893,0.44%
10,DateAndTimeArrived,0,0.00%
11,TurnoutTimeSeconds,2912,0.44%
12,TravelTimeSeconds,2913,0.44%
13,AttendanceTimeSeconds,0,0.00%
14,DateAndTimeLeft,252,0.04%
15,DateAndTimeReturned,659200,100.00%
16,DeployedFromStation_Code,4,0.00%
17,DeployedFromStation_Name,4,0.00%
18,DeployedFromLocation,461,0.07%
19,PumpOrder,0,0.00%
20,PlusCode_Code,0,0.00%
21,PlusCode_Description,0,0.00%
22,DelayCodeId,494722,75.05%
23,DelayCode_Description,494722,75.05%
