,Colonnes,NaNs,Pourcentage
0,CalYear,0,0.00%
1,HourOfCall,0,0.00%
2,IncidentGroup,0,0.00%
3,StopCodeDescription,0,0.00%
4,SpecialServiceType,435192,68.64%
5,PropertyCategory,0,0.00%
6,PropertyType,0,0.00%
7,AddressQualifier,0,0.00%
8,Postcode_district,0,0.00%
9,IncGeo_BoroughName,0,0.00%
10,IncGeo_WardName,0,0.00%
11,Easting_rounded,0,0.00%
12,Northing_rounded,0,0.00%
13,IncidentStationGround,0,0.00%
14,NumStationsWithPumpsAttending,0,0.00%
15,PumpCount,0,0.00%
16,DeployedFromStation_Code,6,0.00%
17,DeployedFromLocation,385,0.06%
18,DelayCode_Description,455938,71.91%
19,ResponseTimeSeconds,0,0.00%
20,CalWeekday,0,0.00%
21,CalMonth,0,0.00%
